pk_order,fk_seller,dt_checkout_date,cohort,ds_type_of_load,adjusted_gmv,adjusted_net_revenue,adjusted_contribution_margin
a0b9N000000IFUpQAO,0010900000IKtPVAA1,2022-12-12,2021-06-22,Mixed,16894.0000,648.0000,996.0000
a0b9N000000IFZ6QAO,0019N000003EKpoQAG,2022-12-12,2022-12-12,Mixed,4110.6000,1159.4000,539.4000
a0b9N000000ILMHQA4,0019N000003IDg0QAG,2022-12-15,2022-11-15,Mixed,2476.0000,61.9000,61.9000
a0b9N000000IZSMQA4,0019N000003R5aSQAS,2022-12-22,2022-12-22,Mixed,102.9000,0.0000,127.5000
a0b9N000000IbAOQA0,0019N000003XASQQA4,2022-12-23,2022-12-23,Mixed,5769.7500,667.2500,483.2500
a0b9N000000IqhGQAS,0019N000003ZoAkQAK,2023-01-10,2023-01-10,Mixed,247.5000,52.5000,52.5000
a0b9N000000IxKiQAK,0019N000003jRSHQA2,2023-01-12,2023-01-12,Acquisition,197577.6000,5613.0000,4963.0000
a0b9N000000J2z4QAC,0019N000003kVqGQAU,2023-01-16,2023-01-16,Mixed,125.2000,50.0800,50.0800
a0b9N000000JAiSQAW,00109000009gnFiAAI,2023-01-19,2023-01-19,Mixed,12531.7500,683.5500,406.1500
a0b9N000000JCSrQAO,0019N000003asCPQAY,2023-01-19,2023-01-19,Mixed,24909.0000,2173.0500,1363.0500
a0b9N000000JCrdQAG,0019N000003ltm3QAA,2023-01-19,2023-01-19,Mixed,3243.0000,344.0000,514.0000
a0b9N000000JDnYQAW,00109000019J4cEAAS,2023-01-20,2022-06-15,Liquidation,105428.7300,-44.3200,-4787.9000
a0b9N000000JL2rQAG,00109000009gn47AAA,2023-01-24,2023-01-24,Mixed,7214.3200,1080.3200,880.3200
a0b9N000000JL8aQAG,0019N000003qY6DQAU,2023-01-24,2023-01-24,Mixed,39258.1400,4830.1900,4230.1900
a0b9N000000JLuwQAG,0019N000003qPBeQAM,2023-01-25,2023-01-25,Mixed,54835.2000,2846.0800,1338.3000
a0b9N000000JQVQQA4,0019N000003qY6DQAU,2023-01-27,2023-01-24,Mixed,14944.0500,2744.2500,2144.2500
a0b9N000000JZ5PQAW,00109000009grd6AAA,2023-02-01,2023-02-01,Mixed,1450.8000,210.8000,195.8000
a0b9N000000JwNPQA0,0019N000003vVAvQAM,2023-02-09,2023-02-09,Mixed,624.3500,64.4700,64.4700
a0b9N000000KIvgQAG,0019N000003vGPVQA2,2023-02-13,2023-02-13,Mixed,26749.0000,2679.5000,2394.5000
a0b9N000000Kv5uQAC,0010900000IKoxwAAD,2023-02-22,2023-02-22,Mixed,4712.0200,256.0000,256.0000
a0b9N000000LLewQAG,0019N0000043F3SQAU,2023-02-23,2023-02-23,Mixed,8436.2000,2293.4000,593.4000
a0b9N000000LfmFQAS,0019N0000040oUJQAY,2023-02-28,2023-02-28,Mixed,1041.6600,462.9600,462.9600
a0b9N000000Lp3YQAS,00109000014L4PKAA0,2023-03-02,2023-03-02,Mixed,6762.8000,1403.6000,443.6000
a0b9N000000MCmrQAG,0019N00000482ReQAI,2023-03-10,2023-03-10,Mixed,639.4500,130.5000,130.5000
a0b9N000000MZtcQAG,0019N000004DPM2QAO,2023-03-15,2023-03-15,Mixed,6511.1000,670.1000,470.1000
a0b9N000000MbdhQAC,0019N0000049iN7QAI,2023-03-15,2023-03-15,Mixed,12438.9000,1037.9000,687.9000
a0b9N000000Mc8GQAS,00109000019JgfhAAC,2023-03-16,2023-03-16,Mixed,7740.0000,1393.2000,258.2000
a0b9N000000Mf3AQAS,0010900000fWzPjAAK,2023-03-17,2021-09-08,Mixed,9899.0200,1172.5200,822.5200
a0b9N000000MoJlQAK,0019N000004D9q7QAC,2023-03-23,2023-03-23,Mixed,8632.8300,3952.3800,2142.3800
a0b9N000000NIoYQAW,00109000009gpIBAAY,2023-04-04,2023-04-04,Mixed,72926.6000,1446.0000,646.0000
a0b9N000000NJzwQAG,0019N000004JzAQQA0,2023-04-04,2023-04-04,Mixed,2669.0000,563.0000,563.0000
a0b9N000000NvWzQAK,0019N0000047dmLQAQ,2023-04-21,2023-04-21,Mixed,27256.4000,3306.5000,1966.5000
a0b9N000000NyDWQA0,0019N000004N8HTQA0,2023-04-24,2023-04-24,Mixed,13827.2000,3099.2000,2299.2000
a0b9N000000O1pAQAS,00109000009gqaVAAQ,2023-04-24,2023-04-24,Mixed,4836.0400,478.4400,323.4400
a0b9N000000OBftQAG,0019N000004N8HTQA0,2023-04-26,2023-04-24,Mixed,13815.6000,3096.6000,2296.6000
a0b9N000000OIcXQAW,0019N000004SQNtQAO,2023-04-27,2023-04-27,Mixed,63956.4500,4921.8200,1021.8200
a0b9N000000OscuQAC,0019N000003sc4wQAA,2023-05-08,2023-05-08,Mixed,7178.0000,1115.5000,1630.3000
