pk_order,fk_seller,fk_opportunity,dt_checkout_date,cohort,ds_type_of_load,adjusted_gmv,adjusted_net_revenue,adjusted_contribution_margin
a0b9N000000Rd4bQAC,0019N000003XmyfQAC,"",2023-07-21,2023-05-09,Acquisition,140264.0400,4448.0100,3948.0100
a0b9N000000RmTjQAK,00109000009gnWVAAY,0069N000002xrfyQAA,2023-07-27,2023-01-02,Mixed,8100.0000,1710.6800,210.6800
a0b9N000000RmUUQA0,00109000009gnWVAAY,0069N000002xrfyQAA,2023-07-27,2023-01-02,Mixed,7715.2500,1629.1700,129.1700
a0b9N000000Rs82QAC,00109000009gnWVAAY,0069N000002xrfyQAA,2023-07-31,2023-01-02,Mixed,8383.5000,1776.0600,276.0600
a0b9N000000S0iQQAS,0019N000004HcHeQAK,"",2023-08-04,2023-03-24,Mixed,58075.4300,521.3500,446.9600
a0b9N000000S6jEQAS,0019N000004I0XRQA0,0069N0000031qxRQAQ,2023-08-10,2023-03-21,Mixed,169427.8300,991.7600,-608.2400
a0b9N000000Sa8iQAC,00109000009gkQdAAI,0069N0000035M25QAE,2023-09-01,2023-02-15,Mixed,69986.7200,4354.7200,2554.7200
a0b9N000000T3DVQA0,0019N000005EuZuQAK,0069N000002fxbVQAQ,2023-09-12,2023-09-12,Stock transfer,0.0000,6114.1300,5252.0900
a0b9N000000TXg9QAG,00109000009gqrFAAQ,"",2023-09-19,2023-01-13,Acquisition,10881.0000,5344.3400,5344.3400
a0b9N000000TZUSQA4,00109000019J4dRAAS,0069N000002Pm5jQAC,2023-09-20,2023-01-10,Liquidation,31059.0000,3855.6000,3435.6000
a0b9N000000TecxQAC,00109000013Te7uAAC,0069N000002fxbVQAQ,2023-09-21,2023-01-17,Acquisition,181196.0700,-521.8200,-1406.3700
a0b9N000000TeuLQAS,0019N000002yXa9QAE,"",2023-09-21,2023-09-21,Mixed,36300.0000,1779.8000,179.8000
a0b9N000000Thh4QAC,0010900000BUgbwAAD,0069N0000037e9bQAA,2023-09-22,2023-07-31,Mixed,8805.9000,1565.9400,65.9400
a0b9N000000Tp2GQAS,00109000009gqrFAAQ,"",2023-09-26,2023-01-13,Acquisition,11776.4000,5591.3900,5591.3900
a0b9N000000TpVDQA0,0010900001TGvjuAAD,"",2023-09-26,2023-02-01,Liquidation,27003.6000,12924.8000,11674.8000
a0b9N000000TpavQAC,00109000009gnzAAAQ,0069N0000039VsEQAU,2023-09-26,2023-03-08,Mixed,14714.8600,1587.7600,987.7600
a0b9N000000U1oeQAC,0019N000003R2RSQA0,0069N0000039tEEQAY,2023-09-28,2023-02-15,Mixed,25938.0900,757.6000,757.6000
a0b9N000000UJVXQA4,0019N000004eWeFQAU,0069N000003B8GsQAK,2023-10-06,2023-09-13,Mixed,32096.9600,2791.0400,1391.0400
a0b9N000000UPL5QAO,0019N000004HcHeQAK,0069N0000039F83QAE,2023-10-06,2023-03-24,Mixed,52945.0900,724.7500,657.1000
a0b9N000000UPRmQAO,0019N000004HcHeQAK,0069N0000039F83QAE,2023-10-06,2023-03-24,Mixed,44180.1400,602.8800,545.6800
a0b9N000000UPSuQAO,0019N000004HcHeQAK,0069N0000039HFFQA2,2023-10-06,2023-03-24,Mixed,55820.6900,2551.6700,2483.9400
a0b9N000000Udg4QAC,0010900000FPnIVAA1,0069N000003CDOdQAO,2023-10-10,2023-01-13,Mixed,10419.6000,6306.6000,4806.6000
a0b9N000000Uk2QQAS,00109000009h59NAAQ,0069N000003COjLQAW,2023-10-11,2023-01-04,Mixed,6723.3000,1565.7000,795.7000
a0b9N000000UkGOQA0,0010900000YLAygAAH,"",2023-10-11,2023-01-19,Mixed,175604.5400,647.1200,-996.0000
a0b9N000000UkddQAC,0019N000003XmyfQAC,0069N0000032qTlQAI,2023-10-11,2023-05-09,Acquisition,166310.4000,7527.9100,6806.7800
a0b9N000000VHk4QAG,00109000009gqrFAAQ,"",2023-10-12,2023-01-13,Acquisition,11540.4000,5525.3100,5525.3100
a0b9N000000Ya0jQAC,0019N000003Xf8OQAS,"",2023-10-31,2023-01-24,Liquidation,0.4000,"",""
a0b9N000000ZbpbQAC,0010900000FPnIVAA1,0069N000003IpmyQAC,2023-11-15,2023-01-13,Mixed,6310.4000,3590.4000,2230.4000
a0b9N000000ZdcKQAS,00109000009gnWVAAY,"",2023-11-16,2023-01-02,Mixed,8272.1800,1465.1000,-34.9000
a0b9N000000ZrlcQAC,00109000009gqrFAAQ,"",2023-11-21,2023-01-13,Acquisition,10313.2000,5098.0400,5098.0400
a0b9N000000ZvUOQA0,00109000017Se3TAAS,"",2023-11-22,2023-01-30,Mixed,5278.0000,-657.7200,-1137.7200
a0b9N000000ZxZdQAK,00109000009gqrFAAQ,"",2023-11-23,2023-01-13,Acquisition,10738.0000,5274.1800,5274.1800
a0b9N000000aCsxQAE,00109000009gnWVAAY,"",2023-11-27,2023-01-02,Mixed,8668.5400,1541.3400,41.3400
a0b9N000000aHPxQAM,0010900000BUgbwAAD,0069N000003IGZeQAO,2023-11-28,2023-07-31,Mixed,8580.4600,1537.0600,137.0600
a0b9N000000aKrwQAE,0019N000004eWeFQAU,0069N000003L4jBQAS,2023-11-28,2023-09-13,Mixed,30840.2800,2254.7800,854.7800
a0b9N000000aOUrQAM,0019N000003Q5SlQAK,0069N000003LTA5QAO,2023-11-29,2023-01-25,Mixed,5908.0200,330.9200,330.9200
a0b9N000000aOnHQAU,0019N0000050bOCQAY,"",2023-11-29,2023-07-14,Liquidation,0.1400,"",""
a0b9N000000aPQEQA2,00109000009gkbWAAQ,0069N000003LZViQAO,2023-11-30,2023-03-28,Acquisition,36763.8000,37238.3600,36438.3600
a0b9N000000aPdIQAU,0019N000005H0CiQAK,0069N0000038SjDQAU,2023-11-30,2023-11-30,Mixed,5779.2000,1857.6000,907.6000
a0b9N000000ae0RQAQ,0010900001TGvjuAAD,"",2023-12-04,2023-02-01,Liquidation,27471.5000,12975.9000,11645.9000
a0b9N000000bPFQQA2,00109000019J4cnAAC,0060900000LT9p2AAD,2023-12-14,2023-01-17,Stock transfer,0.0000,0.0000,0.0000
a0b9N000000c6n7QAA,00109000009gnyVAAQ,0069N000002efshQAA,2024-01-02,2023-01-24,Acquisition,21844.8000,4329.0000,4329.0000
a0b9N000000cW9vQAE,00109000009gqrFAAQ,"",2024-01-10,2023-01-13,Acquisition,11647.2000,6516.7800,6516.7800
a0b9N000000cvxuQAA,0019N0000065UckQAE,"",2024-01-17,2023-12-14,Stock transfer,0.0000,0.0000,0.0000
a0b9N000000dH8yQAE,0019N000005cM6KQAU,0069N000003SnFvQAK,2024-01-23,2023-12-04,Acquisition,"","",""
a0b9N000000dKLwQAM,0019N000003BkypQAC,0069N000003T1AwQAK,2024-01-29,2023-03-23,Acquisition,"","",""
a0b9N000000dLFaQAM,0019N000005iaUxQAI,"",2024-01-30,2023-12-22,Mixed,155782.0000,4847.2200,3247.2200
a0b9N000000dQlMQAU,0010900000ivpuHAAQ,0069N000003QKHvQAO,2024-02-07,2023-01-09,Acquisition,"","",""
a0b9N000000dRhvQAE,0019N000005iaUxQAI,"",2024-02-09,2023-12-22,Mixed,131585.0000,-3539.5500,-4639.5500
a0b9N000000dSayQAE,0010900000ivpuHAAQ,0069N000003QKHvQAO,2024-02-13,2023-01-09,Acquisition,"","",""
a0b9N000000db3AQAQ,0019N000006AUUcQAO,"",2024-02-13,2024-02-13,Acquisition,"","",""
a0b9N000000dcEdQAI,0019N000003JyMeQAK,0069N000003TuuuQAC,2024-02-15,2023-01-12,Mixed,51613.3200,1696.4700,666.4700
a0b9N000000dcX3QAI,00109000009gnWVAAY,0069N000003ZA1GQAW,2024-02-16,2023-01-02,Mixed,9891.9000,1936.4000,436.4000
a0b9N000000ddcKQAQ,00109000009gsfhAAA,0069N000003YPaQQAW,2024-02-20,2023-03-08,Mixed,122290.7900,-216.7500,-2366.7500
a0b9N000000di70QAA,0019N000006DOPEQA4,0069N000003a6ROQAY,2024-03-04,2024-02-26,Mixed,9667.8000,1166.4000,573.4000
a0b9N000000di9kQAA,00109000009gkU6AAI,0060900000JHpe2AAD,2024-03-04,2023-01-02,Mixed,96156.7500,1105.2500,1105.2500
a0b9N000000djcJQAQ,00109000009gnWVAAY,0069N000003ZA1GQAW,2024-03-07,2023-01-02,Mixed,10031.1000,1960.1000,460.1000
a0b9N000000djsLQAQ,0019N000005BH6OQAW,0069N000003U5WBQA0,2024-03-08,2023-12-13,Acquisition,"","",""
a0b9N000000dkgHQAQ,0019N000003XmyfQAC,0069N000003ZSs1QAG,2024-03-11,2023-05-09,Acquisition,"","",""
